"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain";"Valeur.fonciere"
4615;"28/06/2022";"Vente";79000;"NIORT";"79";"Maison";58;3;61;95000
4620;"08/06/2022";"Vente";79000;"NIORT";"79";"Maison";100;4;NA;63000
4622;"13/06/2022";"Vente";79000;"NIORT";"79";"Maison";248;7;283;444350
4623;"28/06/2022";"Vente";79000;"NIORT";"79";"Appartement";47;1;NA;55000
4625;"07/06/2022";"Vente";79000;"NIORT";"79";"Appartement";57;3;NA;123000
4627;"20/06/2022";"Vente";79000;"NIORT";"79";"Maison";70;4;320;184000
4629;"23/06/2022";"Vente";79210;"AMURE";"79";"Maison";126;3;2136;140000
4630;"10/06/2022";"Vente";79000;"NIORT";"79";"Maison";95;3;419;166700
4632;"10/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";88;5;452;190000
4633;"17/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";74;4;472;210440
4634;"20/06/2022";"Vente";79230;"AIFFRES";"79";"Maison";115;6;492;42000
4636;"13/06/2022";"Vente";79000;"NIORT";"79";"Appartement";50;2;NA;78000
4639;"15/06/2022";"Vente";79410;"SAINT GELAIS";"79";"Maison";197;6;489;208000
4640;"15/06/2022";"Vente";79270;"LE VANNEAU-IRLEAU";"79";"Maison";130;3;522;147000
4642;"16/06/2022";"Vente";79000;"NIORT";"79";"Appartement";77;4;NA;115000
4644;"01/07/2022";"Vente";79180;"CHAURAY";"79";"Appartement";56;3;NA;127000
4645;"05/07/2022";"Vente";79000;"NIORT";"79";"Appartement";57;3;NA;95000
4648;"24/06/2022";"Vente";79000;"NIORT";"79";"Maison";41;3;34;120510
4651;"21/06/2022";"Vente";79000;"NIORT";"79";"Appartement";36;2;NA;79875
4652;"20/06/2022";"Vente";79000;"NIORT";"79";"Appartement";103;4;NA;295000
4653;"14/06/2022";"Vente";79230;"AIFFRES";"79";"Maison";106;5;734;222000
4654;"24/06/2022";"Vente";79260;"LA CRECHE";"79";"Maison";273;8;625;480000
4656;"16/06/2022";"Vente";79000;"NIORT";"79";"Appartement";77;4;NA;90000
4659;"14/06/2022";"Vente";79000;"NIORT";"79";"Maison";75;4;306;165000
4661;"30/06/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";90;5;238;119070
4663;"17/06/2022";"Vente";79460;"MAGNE";"79";"Maison";116;6;1157;287500
4665;"29/06/2022";"Vente";79000;"NIORT";"79";"Maison";110;5;125;228000
4666;"14/06/2022";"Vente";79000;"NIORT";"79";"Maison";70;3;245;171000
4668;"14/06/2022";"Vente";79000;"NIORT";"79";"Maison";115;5;56;175000
4669;"15/06/2022";"Vente";79000;"NIORT";"79";"Maison";73;3;241;258000
4670;"10/06/2022";"Vente";79000;"NIORT";"79";"Appartement";38;2;NA;67200
4671;"16/06/2022";"Vente";79000;"NIORT";"79";"Maison";72;4;813;160000
4672;"16/06/2022";"Vente";79000;"NIORT";"79";"Maison";63;3;NA;138000
4674;"08/07/2022";"Vente";79000;"NIORT";"79";"Maison";130;5;1080;319000
4675;"04/07/2022";"Vente";79000;"NIORT";"79";"Maison";96;5;540;232000
4676;"05/07/2022";"Vente";79000;"NIORT";"79";"Maison";60;2;38;30000
4677;"01/07/2022";"Vente";79000;"NIORT";"79";"Maison";27;1;NA;59000
4678;"08/07/2022";"Vente";79000;"NIORT";"79";"Maison";119;4;246;320000
4679;"07/07/2022";"Vente";79230;"AIFFRES";"79";"Maison";130;5;428;322000
4680;"27/06/2022";"Vente";79000;"NIORT";"79";"Maison";84;4;53;55000
4681;"21/06/2022";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";110;4;337;160000
4682;"15/06/2022";"Vente";79000;"NIORT";"79";"Maison";82;3;460;160000
4683;"15/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";80;4;NA;142000
4684;"17/06/2022";"Vente";79000;"NIORT";"79";"Appartement";60;4;1093;380000
4687;"11/07/2022";"Vente";79230;"VOUILLE";"79";"Maison";70;3;552;195000
4688;"17/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";118;4;908;220000
4689;"27/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";145;5;747;385000
4690;"24/06/2022";"Vente";79000;"NIORT";"79";"Maison";60;2;96;155000
4691;"14/06/2022";"Vente";79000;"NIORT";"79";"Appartement";84;4;NA;143500
4692;"29/06/2022";"Vente";79000;"NIORT";"79";"Maison";76;3;28;70000
4694;"13/06/2022";"Vente";79000;"NIORT";"79";"Maison";38;3;17;68000
4698;"07/07/2022";"Vente";79000;"NIORT";"79";"Appartement";60;3;NA;105000
4702;"17/06/2022";"Vente";79000;"NIORT";"79";"Appartement";101;4;NA;290000
4703;"13/06/2022";"Vente";79000;"NIORT";"79";"Maison";78;4;301;144000
4705;"11/07/2022";"Vente";79000;"NIORT";"79";"Maison";85;4;334;196594
4706;"21/06/2022";"Vente";79000;"NIORT";"79";"Maison";87;4;324;215000
4707;"21/06/2022";"Vente";79510;"COULON";"79";"Maison";76;2;611;189000
4708;"21/06/2022";"Vente";79000;"NIORT";"79";"Appartement";52;2;NA;72000
4709;"23/06/2022";"Vente";79000;"NIORT";"79";"Appartement";45;2;NA;60000
4712;"16/06/2022";"Vente";79000;"NIORT";"79";"Maison";65;3;25;126650
4713;"11/07/2022";"Vente";79000;"NIORT";"79";"Appartement";30;2;NA;69000
4715;"28/06/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";148;5;994;315000
4716;"27/06/2022";"Vente";79000;"NIORT";"79";"Maison";79;3;105;146000
